metric,class,electrode,mean_rho_distance_vs_metric,std_rho_across_subjects,t_vs_0,p_vs_0,n_subjects
PLI,R,T7,-0.029844997109566798,0.4329880102484247,-0.18236634355314127,0.8604642573874199,8
PLI,R,C3,-0.08816733228724974,0.3159567863577632,-0.738293478931401,0.48434726620245616,8
PLI,R,Cz,0.0023727208220728907,0.15439035606543758,0.04066076007447552,0.9687017658315586,8
PLI,R,C4,-0.2264385670637295,0.17636940443609714,-3.396848436382388,0.011491700466845804,8
PLI,R,T8,-0.14857898993940177,0.32309939043041735,-1.2166629497664851,0.2631583472407258,8
PLI,R,P7,-0.27270381836945307,0.26731362742333264,-2.6991010220391156,0.030678910224482377,8
PLI,R,P3,-0.29179566563467496,0.16895201235159493,-4.569455871939002,0.002575798213485481,8
PLI,R,Pz,-0.2347471411756361,0.2667570174769867,-2.328270732700349,0.052748043692476466,8
PLI,R,P4,-0.2871517027863777,0.24157411866213682,-3.1449229674476933,0.016266953284890143,8
PLI,R,P8,-0.19427244582043346,0.23972201397038703,-2.144135908588815,0.06921033419475016,8
PLI,R,O1,-0.34133126934984515,0.3457317704074026,-2.6120759811154386,0.03480805203462657,8
PLI,R,O2,-0.16228070175438597,0.3433764500694107,-1.2503897088468299,0.2513338942405667,8
wPLI,L,FP1,0.43808049535603716,0.243927463780671,4.751625860309973,0.0020795819451976064,8
wPLI,L,FP2,0.4396284829721362,0.27931347950768437,4.164308995237254,0.004218999736576114,8
wPLI,L,F7,0.16666666666666669,0.22952422099364594,1.9211852672241758,0.09616188272082905,8
wPLI,L,F3,0.32172342621259026,0.22878569775736,3.7205130611131914,0.0074510484976856315,8
wPLI,L,Fz,0.5597198343879397,0.19798980808567457,7.47957432748224,0.00013968628592728852,8
wPLI,L,F4,0.19143446852425183,0.30503300116534326,1.6604367204401282,0.14078502426745898,8
wPLI,L,F8,0.018059855521155806,0.33589666725295436,0.1422517431134613,0.8908889439598073,8
wPLI,L,T7,0.05646001617697265,0.44370761269440673,0.33666125518075074,0.7462400494064676,8
wPLI,L,C3,-0.1307621227755099,0.2561350438921818,-1.3507095808277034,0.2188211343452347,8
wPLI,L,Cz,-0.005536348584836738,0.12525079596611854,-0.11694777197906792,0.9101861131924411,8
wPLI,L,C4,-0.27201110886271906,0.2738395070860538,-2.628085901686623,0.03400708335977684,8
wPLI,L,T8,-0.13966425054303766,0.3918726502943519,-0.942951424922193,0.37710310478370346,8
wPLI,L,P7,-0.30030959752321984,0.3245642746972679,-2.448034405861326,0.04423458587653593,8
wPLI,L,P3,-0.30211558307533537,0.14832144046831802,-5.389124441421198,0.0010203205009451932,8
wPLI,L,Pz,-0.29059007343768173,0.31585470165890306,-2.434122600493609,0.04514658989309353,8
