subject,metric,mean_kl_edges,std_kl_edges,mean_kl_ns,std_kl_ns,mean_kl_clust,std_kl_clust
5,PLI,0.651149734361255,0.32417951731259864,0.5586255418004851,0.25445074930503975,0.5036467539145679,0.2651301794738915
9,PLI,0.592499444787048,0.28456071852159925,0.4968447564237904,0.16813878554880746,0.5502786191908143,0.2601960139358073
21,PLI,0.5193063670763555,0.24405946062245396,0.612826682665924,0.23448358090368454,0.38729192024862524,0.2662680101426055
31,PLI,0.48954892075058604,0.2273895463430431,0.6416442671789772,0.397198341303489,0.4389492081237125,0.2470931843956515
34,PLI,0.5732515359546574,0.2711117923916763,0.6819600200512376,0.34053247764330274,0.5907221841869639,0.3359773593432035
39,PLI,0.6022814253956055,0.34378736344511873,0.3981384308538278,0.1505374073344288,0.5389745947292633,0.4097062229159658
1,wPLI,0.47560638307339137,0.26533681314000135,0.5397595793567902,0.24095708580964187,0.561094199987712,0.2635601024248761
2,wPLI,0.478543766568104,0.2665233729886395,0.4680532448513355,0.19858319083969586,0.4108339997702912,0.24634316975485157
5,wPLI,0.6376152578863534,0.2770678855140222,0.6134407652945191,0.2515002485170183,0.543695698757627,0.24348155699947632
9,wPLI,0.5137007353108833,0.27421271429359095,0.6946060664782244,0.295536986015719,0.5361937094370087,0.36663053362805254
21,wPLI,0.45176352360392685,0.2300279552663585,0.45178975925286863,0.19648452976524963,0.4085440563568443,0.2663734719741082
31,wPLI,0.47936281793722985,0.26789801754854,0.5408182144119928,0.2197548498964325,0.43954047532576807,0.2974525712359325
34,wPLI,0.5216729719543916,0.2541908525759625,0.4535734174942278,0.1982363880942284,0.6073485739846793,0.3137015501888779
39,wPLI,0.5550602109391372,0.3044631627232198,0.5412879102251411,0.23775950197675935,0.6181695287465193,0.36436575116005737
1,Coh,0.4100928282708753,0.2648016833952442,0.2268528720418325,0.13902788636984104,0.22153270318614476,0.1950477257750135
2,Coh,0.505795935629257,0.23153515047510345,0.5348062378462537,0.15315874157794915,0.4866905549501095,0.10987299041074126
5,Coh,0.5889741899677308,0.3061543397374216,0.4420096965400653,0.18640439708267484,0.5128399181035889,0.14917100892996768
9,Coh,0.43360837763656485,0.25232894365083647,0.40083735167657053,0.23517227664103055,0.39470233774833685,0.3150100846569094
21,Coh,0.7075427226752667,0.4577875342913358,0.5505191873763191,0.25865780632609076,0.4435576744207799,0.1792300841574555
31,Coh,0.4781462378654292,0.28513576481149816,0.442234255922132,0.2173228528118086,0.3344637121431962,0.1764968737148772
34,Coh,0.6675010194628695,0.30288434214255355,0.7268569575718327,0.1651299894751302,0.755085279692947,0.2063716599684804
39,Coh,0.906001148101728,0.5466825033924988,1.004676677584102,0.4455483221456554,1.0633820091388413,0.5229398241538799
1,imCoh,0.6201530102218916,0.27784849678519347,0.4614859099208003,0.16036915973336746,0.4931376004127274,0.2142260615395109
2,imCoh,0.4985661627374197,0.24003707427603727,0.474630645956309,0.258225275531822,0.44977321073853227,0.2681435863424057
5,imCoh,0.606606394853245,0.28325067878624766,0.5242796343547583,0.22232685755269932,0.4876372464919893,0.22875174266468476
