subject,metric,feature_type,i_idx,j_idx,i_label,j_label,cv,kl
2,ImagPLV,edges,2,18.0,F7,O2,5.287070112621203,0.787626604824363
2,ImagPLV,edges,6,8.0,F8,C3,6.158063562673203,0.7354957263559574
2,ImagPLV,edges,8,13.0,C3,P3,5.0533371065151345,0.7968612393845034
2,ImagPLV,edges,12,13.0,P7,P3,4.233128314551495,0.6897890357980478
2,ImagPLV,edges,13,14.0,P3,Pz,5.274470595244504,0.5715809747259738
2,ImagPLV,edges,13,18.0,P3,O2,4.427974207508809,0.7175299144010707
5,ImagPLV,edges,0,9.0,FP1,Cz,3.7654203923644527,0.8784956498129393
5,ImagPLV,edges,1,15.0,FP2,P4,4.552824700722356,0.8854862141420519
5,ImagPLV,edges,3,9.0,F3,Cz,2.4598723475606614,0.834702395083297
5,ImagPLV,edges,3,13.0,F3,P3,2.775227551842691,0.721263860686538
5,ImagPLV,edges,4,10.0,Fz,C4,1.7530431233579966,0.9372852498473258
5,ImagPLV,edges,4,13.0,Fz,P3,2.9973156025101693,0.9637766626914608
5,ImagPLV,edges,5,13.0,F4,P3,4.831593701193177,0.9578301461512233
5,ImagPLV,edges,5,14.0,F4,Pz,3.410629166530872,1.1977112062191142
5,ImagPLV,edges,5,15.0,F4,P4,2.3166853327651933,0.9201691961739096
5,ImagPLV,edges,8,11.0,C3,T8,2.6900346512947224,0.7284577457310872
5,ImagPLV,ns,0,,FP1,,0.448985200373038,0.6528262473472644
5,ImagPLV,ns,4,,Fz,,0.4566790818346997,0.6064032635549973
5,ImagPLV,ns,8,,C3,,0.4480392095782425,0.5830063929992423
9,ImagPLV,edges,0,12.0,FP1,P7,1.500577255016476,0.8617425879246808
9,ImagPLV,edges,1,13.0,FP2,P3,1.44689920990021,0.9262525654726854
9,ImagPLV,edges,3,12.0,F3,P7,1.0203453431735097,1.0217894603954245
9,ImagPLV,edges,3,13.0,F3,P3,1.0152922594878238,0.9212015622558798
9,ImagPLV,edges,3,17.0,F3,O1,1.1236866674289867,1.3220634183725346
9,ImagPLV,edges,5,12.0,F4,P7,1.1714449762698471,1.0895031082645867
9,ImagPLV,edges,5,18.0,F4,O2,1.1835770525513358,1.6460436595927632
9,ImagPLV,edges,6,18.0,F8,O2,1.3395953259171924,1.0183594450834086
9,ImagPLV,edges,8,12.0,C3,P7,1.0595662010271716,0.9181199100991717
9,ImagPLV,edges,8,13.0,C3,P3,1.4186115232949796,0.9509618730278688
9,ImagPLV,edges,8,17.0,C3,O1,1.2418685705926404,0.9164672108766374
9,ImagPLV,edges,10,12.0,C4,P7,1.3318585111227015,1.1590636356253892
9,ImagPLV,edges,10,13.0,C4,P3,1.3813288264575072,0.9158620958068067
9,ImagPLV,edges,10,14.0,C4,Pz,1.3601565701499916,0.8981674580039141
9,ImagPLV,edges,10,15.0,C4,P4,1.056383188363965,0.9465419195114506
9,ImagPLV,edges,10,18.0,C4,O2,1.006288944440859,0.8413130647387619
9,ImagPLV,edges,11,17.0,T8,O1,1.4303982440372527,0.840426980028451
9,ImagPLV,edges,14,17.0,Pz,O1,0.9821389057907421,1.0828622125286618
9,ImagPLV,edges,16,18.0,P8,O2,1.5154151915043839,0.9662140425279294
9,ImagPLV,ns,3,,F3,,0.34322757054095077,1.2084446167314737
21,ImagPLV,edges,0,9.0,FP1,Cz,1.3543841912285877,0.840221759842429
21,ImagPLV,edges,0,15.0,FP1,P4,1.2341628934461353,0.881084558384692
21,ImagPLV,edges,1,14.0,FP2,Pz,1.3803846793044077,0.944047053153124
