subject,metric,feature_type,n_features_valid,stability_percentile,kl_percentile,stable_count,highKL_count,stable_and_highKL_count,mean_cv_edges,mean_cv_ns,mean_kl_edges,mean_kl_ns,cv,kl,frac_sd,rank_frac_sd,rank_kl,rank_cv,borda_score_subject,subject_rank
39,wPLI,ns,19,30.0,70.0,6,6,2,0.6823961332780746,0.37192965955720986,0.5550602109391372,0.5412879102251411,0.37192965955720986,0.5412879102251411,0.10526315789473684,3.0,7.0,7.0,17.0,6.0
1,Coh,edges,171,30.0,70.0,52,52,22,0.1930432233321358,0.1675829752741672,0.4100928282708753,0.2268528720418325,0.1930432233321358,0.4100928282708753,0.1286549707602339,2.0,6.0,1.0,9.0,1.0
1,Coh,ns,19,30.0,70.0,6,6,2,0.1930432233321358,0.1675829752741672,0.4100928282708753,0.2268528720418325,0.1675829752741672,0.2268528720418325,0.10526315789473684,3.0,9.0,1.0,13.0,3.0
2,Coh,edges,171,30.0,70.0,52,52,11,0.24152613335291817,0.19187267966482813,0.505795935629257,0.5348062378462537,0.24152613335291817,0.505795935629257,0.06432748538011696,9.0,4.0,1.0,14.0,4.0
2,Coh,ns,19,30.0,70.0,6,6,3,0.24152613335291817,0.19187267966482813,0.505795935629257,0.5348062378462537,0.19187267966482813,0.5348062378462537,0.15789473684210525,3.0,5.0,1.0,9.0,4.0
5,Coh,edges,171,30.0,70.0,52,52,18,0.13898063408696515,0.11745958917297367,0.5889741899677308,0.4420096965400653,0.13898063408696515,0.5889741899677308,0.10526315789473684,1.0,7.0,1.0,9.0,1.0
5,Coh,ns,19,30.0,70.0,6,6,1,0.13898063408696515,0.11745958917297367,0.5889741899677308,0.4420096965400653,0.11745958917297367,0.4420096965400653,0.05263157894736842,7.0,9.0,1.0,17.0,8.0
9,Coh,edges,171,30.0,70.0,52,52,17,0.25953259357751113,0.17780594165121755,0.43360837763656485,0.40083735167657053,0.25953259357751113,0.43360837763656485,0.09941520467836257,3.0,9.0,1.0,13.0,3.0
9,Coh,ns,19,30.0,70.0,6,6,2,0.25953259357751113,0.17780594165121755,0.43360837763656485,0.40083735167657053,0.17780594165121755,0.40083735167657053,0.10526315789473684,3.0,9.0,2.0,14.0,5.0
21,Coh,edges,171,30.0,70.0,52,52,11,0.17046977073631805,0.10862782625639371,0.7075427226752667,0.5505191873763191,0.17046977073631805,0.7075427226752667,0.06432748538011696,7.0,1.0,1.0,9.0,3.0
21,Coh,ns,19,30.0,70.0,6,6,1,0.17046977073631805,0.10862782625639371,0.7075427226752667,0.5505191873763191,0.10862782625639371,0.5505191873763191,0.05263157894736842,8.0,5.0,1.0,14.0,3.0
31,Coh,edges,171,30.0,70.0,52,52,15,0.19651027457128717,0.14723618113014666,0.4781462378654292,0.442234255922132,0.19651027457128717,0.4781462378654292,0.08771929824561403,4.0,8.0,1.0,13.0,2.0
31,Coh,ns,19,30.0,70.0,6,6,3,0.19651027457128717,0.14723618113014666,0.4781462378654292,0.442234255922132,0.14723618113014666,0.442234255922132,0.15789473684210525,2.0,8.0,1.0,11.0,3.0
34,Coh,edges,171,30.0,70.0,52,52,17,0.23755406492033418,0.12381722620317365,0.6675010194628695,0.7268569575718327,0.23755406492033418,0.6675010194628695,0.09941520467836257,4.0,2.0,2.0,8.0,1.0
34,Coh,ns,19,30.0,70.0,6,6,2,0.23755406492033418,0.12381722620317365,0.6675010194628695,0.7268569575718327,0.12381722620317365,0.7268569575718327,0.10526315789473684,3.0,2.0,1.0,6.0,2.0
39,Coh,edges,171,30.0,70.0,52,52,13,0.21600100437015188,0.11057594481474181,0.906001148101728,1.004676677584102,0.21600100437015188,0.906001148101728,0.07602339181286549,5.0,2.0,2.0,9.0,2.0
