subject,metric,class,mean_cv_edges,std_cv_edges,mean_cv_ns,std_cv_ns,mean_cv_clust,std_cv_clust
39,ImagPLV,L,3.873676440672443,7.056201879040517,0.37774296123726975,0.026160321366620488,0.26393849565729033,0.022134044156353137
39,ImagPLV,R,11.95687182051323,72.50975568823301,0.39661469022798485,0.025319260966694793,0.2613872740268335,0.023739220858546312
1,PLI,L,0.7583712653806466,0.04622366645382724,0.41156188252397347,0.04760695427559983,0.2691889799360843,0.03476869716617846
1,PLI,R,0.7435254910606696,0.04803048448724418,0.38921174144804166,0.052773077280698126,0.2697747255074474,0.03314734469637382
2,PLI,L,0.8122165602213987,0.10027222925256582,0.4313074436345493,0.06844333348590444,0.2752054931067546,0.03762835733561701
2,PLI,R,0.7979166525818565,0.10891595840774897,0.4271807589903335,0.0696792818275505,0.2818499281936743,0.04345567892517262
5,PLI,L,0.8613250362725925,0.1958328679525608,0.5229332164027327,0.21065499786426417,0.2819496425798506,0.03581919468042245
5,PLI,R,0.8942876662618915,0.19941853975260018,0.550678590760475,0.21714253931778194,0.2952376543372887,0.037532184156692405
9,PLI,L,0.7345476072817922,0.04904924448296608,0.35315168602150093,0.037274034461648384,0.2521713106799511,0.028991087542222897
9,PLI,R,0.7395006148837983,0.05162772950488382,0.36260891200279766,0.03130660840328661,0.24939029854518333,0.02159988029983703
21,PLI,L,0.7596687491420347,0.07101109752868714,0.4202773213665272,0.06285836539752757,0.3193738400438933,0.016804541627736196
21,PLI,R,0.7524020480013355,0.07475932148524522,0.3981039143815912,0.0482413211171128,0.30666743547843467,0.015690980981317097
31,PLI,L,0.7649919369588719,0.04175680702151508,0.4251426713782339,0.026527162323600417,0.2823225028472895,0.01687920688033999
31,PLI,R,0.7579318348098367,0.04732862849736254,0.41131535803923125,0.026544403682061207,0.2690635769969846,0.02100652054061336
34,PLI,L,0.7441095972483815,0.0537186906618432,0.32908961832495076,0.03101753516346925,0.25096053000934093,0.022696500137006474
34,PLI,R,0.7415848955805383,0.0486491494709315,0.33323281674831723,0.028029431389554924,0.2492413597485438,0.014690979252752069
39,PLI,L,0.7072692896408381,0.06129803856254932,0.3612937497298134,0.027011973254772958,0.27301553342569546,0.019724888294076696
39,PLI,R,0.7170893768069425,0.0659121171215166,0.37441895267172676,0.023758122687906568,0.2771038469585216,0.021996500115928033
1,wPLI,L,0.7305009227645936,0.0448117460621855,0.42630716991972445,0.045395173403654634,0.28697092850259087,0.03378454582783837
